Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 81442.80it/s]
Loading weights:   0%|          | 0/750 [00:00<?, ?it/s]Loading weights:   7%|▋         | 50/750 [00:00<00:01, 477.93it/s]Loading weights:  13%|█▎        | 98/750 [00:00<00:01, 478.99it/s]Loading weights:  20%|██        | 152/750 [00:00<00:01, 506.31it/s]Loading weights:  27%|██▋       | 203/750 [00:00<00:01, 474.25it/s]Loading weights:  34%|███▎      | 252/750 [00:00<00:01, 479.10it/s]Loading weights:  40%|████      | 301/750 [00:00<00:00, 468.14it/s]Loading weights:  48%|████▊     | 358/750 [00:00<00:00, 493.91it/s]Loading weights:  83%|████████▎ | 626/750 [00:00<00:00, 1160.93it/s]Loading weights: 100%|██████████| 750/750 [00:00<00:00, 862.85it/s] 
[cfg] mode=compress stain=1 n_q=8 use_text=1 | trainable=39.76M | train 4576 | bs=2
[ep-1 init] mAP@0/1/2=[np.float64(0.02), np.float64(0.02), np.float64(0.12)] ndet=276 ngt=647
  ep2 step1100/2288 loss 0.9363 | 1.9 samp/s
  ep2 step1150/2288 loss 0.9352 | 1.9 samp/s
  ep2 step1200/2288 loss 0.9346 | 1.9 samp/s
  ep2 step1250/2288 loss 0.9351 | 1.9 samp/s
  ep2 step1300/2288 loss 0.9344 | 1.9 samp/s
  ep2 step1350/2288 loss 0.9344 | 1.9 samp/s
  ep2 step1400/2288 loss 0.9343 | 1.9 samp/s
  ep2 step1450/2288 loss 0.9332 | 1.9 samp/s
  ep2 step1500/2288 loss 0.9347 | 1.9 samp/s
  ep2 step1550/2288 loss 0.9348 | 1.9 samp/s
  ep2 step1600/2288 loss 0.9347 | 1.9 samp/s
  ep2 step1650/2288 loss 0.9333 | 1.9 samp/s
  ep2 step1700/2288 loss 0.9333 | 1.9 samp/s
  ep2 step1750/2288 loss 0.9329 | 1.9 samp/s
  ep2 step1800/2288 loss 0.9326 | 1.9 samp/s
  ep2 step1850/2288 loss 0.9318 | 1.9 samp/s
  ep2 step1900/2288 loss 0.9318 | 1.9 samp/s
  ep2 step1950/2288 loss 0.9314 | 1.9 samp/s
  ep2 step2000/2288 loss 0.9314 | 1.9 samp/s
  ep2 step2050/2288 loss 0.9310 | 1.9 samp/s
  ep2 step2100/2288 loss 0.9302 | 1.9 samp/s
  ep2 step2150/2288 loss 0.9303 | 1.9 samp/s
  ep2 step2200/2288 loss 0.9296 | 1.9 samp/s
  ep2 step2250/2288 loss 0.9304 | 1.9 samp/s
[ep2] loss 0.9292 | mAP@0/1/2=[np.float64(0.09), np.float64(0.97), np.float64(2.18)] ndet=552 ngt=647 | 1.8 samp/s
  ep3 step50/2288 loss 0.8862 | 1.9 samp/s
  ep3 step100/2288 loss 0.9090 | 1.9 samp/s
  ep3 step150/2288 loss 0.9170 | 1.9 samp/s
  ep3 step200/2288 loss 0.9199 | 1.9 samp/s
  ep3 step250/2288 loss 0.9174 | 1.9 samp/s
  ep3 step300/2288 loss 0.9189 | 1.9 samp/s
  ep3 step350/2288 loss 0.9240 | 1.9 samp/s
  ep3 step400/2288 loss 0.9259 | 1.9 samp/s
  ep3 step450/2288 loss 0.9238 | 1.9 samp/s
  ep3 step500/2288 loss 0.9223 | 1.9 samp/s
  ep3 step550/2288 loss 0.9200 | 1.9 samp/s
  ep3 step600/2288 loss 0.9169 | 1.9 samp/s
  ep3 step650/2288 loss 0.9180 | 1.9 samp/s
  ep3 step700/2288 loss 0.9179 | 1.9 samp/s
  ep3 step750/2288 loss 0.9204 | 1.9 samp/s
  ep3 step800/2288 loss 0.9188 | 1.9 samp/s
  ep3 step850/2288 loss 0.9205 | 1.9 samp/s
  ep3 step900/2288 loss 0.9221 | 1.9 samp/s
  ep3 step950/2288 loss 0.9212 | 1.9 samp/s
  ep3 step1000/2288 loss 0.9195 | 1.9 samp/s
  ep3 step1050/2288 loss 0.9178 | 1.9 samp/s
  ep3 step1100/2288 loss 0.9164 | 1.9 samp/s
  ep3 step1150/2288 loss 0.9163 | 1.9 samp/s
  ep3 step1200/2288 loss 0.9169 | 1.9 samp/s
  ep3 step1250/2288 loss 0.9161 | 1.9 samp/s
  ep3 step1300/2288 loss 0.9161 | 1.9 samp/s
  ep3 step1350/2288 loss 0.9165 | 1.9 samp/s
  ep3 step1400/2288 loss 0.9162 | 1.9 samp/s
  ep3 step1450/2288 loss 0.9157 | 1.9 samp/s
  ep3 step1500/2288 loss 0.9144 | 1.9 samp/s
  ep3 step1550/2288 loss 0.9136 | 1.9 samp/s
  ep3 step1600/2288 loss 0.9129 | 1.9 samp/s
  ep3 step1650/2288 loss 0.9125 | 1.9 samp/s
  ep3 step1700/2288 loss 0.9112 | 1.9 samp/s
  ep3 step1750/2288 loss 0.9116 | 1.9 samp/s
  ep3 step1800/2288 loss 0.9114 | 1.9 samp/s
  ep3 step1850/2288 loss 0.9111 | 1.9 samp/s
  ep3 step1900/2288 loss 0.9110 | 1.9 samp/s
  ep3 step1950/2288 loss 0.9107 | 1.9 samp/s
  ep3 step2000/2288 loss 0.9102 | 1.9 samp/s
  ep3 step2050/2288 loss 0.9109 | 1.9 samp/s
  ep3 step2100/2288 loss 0.9112 | 1.9 samp/s
  ep3 step2150/2288 loss 0.9115 | 1.9 samp/s
  ep3 step2200/2288 loss 0.9120 | 1.9 samp/s
  ep3 step2250/2288 loss 0.9118 | 1.9 samp/s
[ep3] loss 0.9115 | mAP@0/1/2=[np.float64(0.08), np.float64(0.56), np.float64(1.59)] ndet=552 ngt=647 | 1.8 samp/s
[done] comp_v1 best mAP@2 2.18
