Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 14781.69it/s]
Loading weights:   0%|          | 0/750 [00:00<?, ?it/s]Loading weights:   7%|▋         | 50/750 [00:00<00:01, 480.41it/s]Loading weights:  14%|█▎        | 103/750 [00:00<00:01, 497.13it/s]Loading weights:  21%|██        | 158/750 [00:00<00:01, 520.03it/s]Loading weights:  28%|██▊       | 211/750 [00:00<00:01, 492.16it/s]Loading weights:  35%|███▍      | 261/750 [00:00<00:01, 484.57it/s]Loading weights:  41%|████▏     | 311/750 [00:00<00:00, 484.09it/s]Loading weights:  49%|████▉     | 368/750 [00:00<00:00, 505.61it/s]Loading weights:  94%|█████████▍| 707/750 [00:00<00:00, 1391.51it/s]Loading weights: 100%|██████████| 750/750 [00:00<00:00, 874.72it/s] 
[cfg] mode=mean stain=1 n_q=8 use_text=1 | trainable=9.97M | train 4576 | bs=2
[ep-1 init] mAP@0/1/2=[np.float64(0.0), np.float64(0.03), np.float64(0.09)] ndet=277 ngt=647
  ep2 step500/2288 loss 0.5597 | 3.4 samp/s
  ep2 step550/2288 loss 0.5583 | 3.4 samp/s
  ep2 step600/2288 loss 0.5561 | 3.4 samp/s
  ep2 step650/2288 loss 0.5528 | 3.4 samp/s
  ep2 step700/2288 loss 0.5505 | 3.4 samp/s
  ep2 step750/2288 loss 0.5496 | 3.4 samp/s
  ep2 step800/2288 loss 0.5489 | 3.4 samp/s
  ep2 step850/2288 loss 0.5491 | 3.4 samp/s
  ep2 step900/2288 loss 0.5503 | 3.4 samp/s
  ep2 step950/2288 loss 0.5509 | 3.4 samp/s
  ep2 step1000/2288 loss 0.5511 | 3.4 samp/s
  ep2 step1050/2288 loss 0.5512 | 3.4 samp/s
  ep2 step1100/2288 loss 0.5527 | 3.4 samp/s
  ep2 step1150/2288 loss 0.5505 | 3.4 samp/s
  ep2 step1200/2288 loss 0.5493 | 3.4 samp/s
  ep2 step1250/2288 loss 0.5503 | 3.4 samp/s
  ep2 step1300/2288 loss 0.5511 | 3.4 samp/s
  ep2 step1350/2288 loss 0.5510 | 3.4 samp/s
  ep2 step1400/2288 loss 0.5504 | 3.4 samp/s
  ep2 step1450/2288 loss 0.5483 | 3.4 samp/s
  ep2 step1500/2288 loss 0.5493 | 3.4 samp/s
  ep2 step1550/2288 loss 0.5485 | 3.4 samp/s
  ep2 step1600/2288 loss 0.5489 | 3.4 samp/s
  ep2 step1650/2288 loss 0.5485 | 3.4 samp/s
  ep2 step1700/2288 loss 0.5491 | 3.4 samp/s
  ep2 step1750/2288 loss 0.5487 | 3.4 samp/s
  ep2 step1800/2288 loss 0.5483 | 3.4 samp/s
  ep2 step1850/2288 loss 0.5481 | 3.4 samp/s
  ep2 step1900/2288 loss 0.5480 | 3.4 samp/s
  ep2 step1950/2288 loss 0.5477 | 3.4 samp/s
  ep2 step2000/2288 loss 0.5478 | 3.4 samp/s
  ep2 step2050/2288 loss 0.5469 | 3.4 samp/s
  ep2 step2100/2288 loss 0.5463 | 3.4 samp/s
  ep2 step2150/2288 loss 0.5462 | 3.4 samp/s
  ep2 step2200/2288 loss 0.5462 | 3.4 samp/s
  ep2 step2250/2288 loss 0.5465 | 3.4 samp/s
[ep2] loss 0.5454 | mAP@0/1/2=[np.float64(3.8), np.float64(26.51), np.float64(50.07)] ndet=625 ngt=647 | 3.3 samp/s
  ep3 step50/2288 loss 0.5229 | 3.5 samp/s
  ep3 step100/2288 loss 0.5105 | 3.4 samp/s
  ep3 step150/2288 loss 0.5043 | 3.4 samp/s
  ep3 step200/2288 loss 0.5085 | 3.4 samp/s
  ep3 step250/2288 loss 0.5095 | 3.4 samp/s
  ep3 step300/2288 loss 0.5087 | 3.4 samp/s
  ep3 step350/2288 loss 0.5140 | 3.4 samp/s
  ep3 step400/2288 loss 0.5180 | 3.4 samp/s
  ep3 step450/2288 loss 0.5159 | 3.4 samp/s
  ep3 step500/2288 loss 0.5127 | 3.4 samp/s
  ep3 step550/2288 loss 0.5113 | 3.4 samp/s
  ep3 step600/2288 loss 0.5095 | 3.4 samp/s
  ep3 step650/2288 loss 0.5082 | 3.4 samp/s
  ep3 step700/2288 loss 0.5087 | 3.4 samp/s
  ep3 step750/2288 loss 0.5109 | 3.4 samp/s
  ep3 step800/2288 loss 0.5111 | 3.4 samp/s
  ep3 step850/2288 loss 0.5128 | 3.4 samp/s
  ep3 step900/2288 loss 0.5118 | 3.4 samp/s
  ep3 step950/2288 loss 0.5108 | 3.4 samp/s
  ep3 step1000/2288 loss 0.5071 | 3.4 samp/s
  ep3 step1050/2288 loss 0.5066 | 3.4 samp/s
  ep3 step1100/2288 loss 0.5047 | 3.4 samp/s
  ep3 step1150/2288 loss 0.5052 | 3.4 samp/s
  ep3 step1200/2288 loss 0.5052 | 3.4 samp/s
  ep3 step1250/2288 loss 0.5056 | 3.4 samp/s
  ep3 step1300/2288 loss 0.5054 | 3.4 samp/s
  ep3 step1350/2288 loss 0.5050 | 3.4 samp/s
  ep3 step1400/2288 loss 0.5050 | 3.4 samp/s
  ep3 step1450/2288 loss 0.5052 | 3.4 samp/s
  ep3 step1500/2288 loss 0.5039 | 3.4 samp/s
  ep3 step1550/2288 loss 0.5037 | 3.4 samp/s
  ep3 step1600/2288 loss 0.5023 | 3.4 samp/s
  ep3 step1650/2288 loss 0.5025 | 3.4 samp/s
  ep3 step1700/2288 loss 0.5015 | 3.4 samp/s
  ep3 step1750/2288 loss 0.5021 | 3.4 samp/s
  ep3 step1800/2288 loss 0.5034 | 3.4 samp/s
  ep3 step1850/2288 loss 0.5033 | 3.4 samp/s
  ep3 step1900/2288 loss 0.5033 | 3.4 samp/s
  ep3 step1950/2288 loss 0.5042 | 3.4 samp/s
  ep3 step2000/2288 loss 0.5033 | 3.4 samp/s
  ep3 step2050/2288 loss 0.5045 | 3.4 samp/s
  ep3 step2100/2288 loss 0.5044 | 3.4 samp/s
  ep3 step2150/2288 loss 0.5051 | 3.4 samp/s
  ep3 step2200/2288 loss 0.5048 | 3.4 samp/s
  ep3 step2250/2288 loss 0.5038 | 3.4 samp/s
[ep3] loss 0.5036 | mAP@0/1/2=[np.float64(3.39), np.float64(26.28), np.float64(49.86)] ndet=626 ngt=647 | 3.3 samp/s
[done] mean_v1 best mAP@2 50.07
